combo,usage_count,usage_pct,win_rate,4plus_teams,4plus_usage_pct,4plus_win_rate,top_cut_teams,top_cut_usage_pct,top_cut_win_rate
Charizard Y,468,12.91,47.81,143,12.83,30.72,80,12.86,42.4
Floette,358,9.88,52.67,104,9.33,37.74,74,11.9,46.09
Froslass,248,6.84,51.62,78,7,36.67,47,7.56,54.12
Gengar,248,6.84,45.89,53,4.75,31.82,35,5.63,53.33
Dragonite,184,5.08,44.46,43,3.86,31.69,25,4.02,50
Tyranitar,164,4.52,48.8,48,4.3,33.74,24,3.86,53.06
Delphox,128,3.53,54.02,47,4.22,40.19,31,4.98,56.6
Gardevoir,117,3.23,47.62,33,2.96,33.73,17,2.73,64.71
Meganium,86,2.37,47.83,26,2.33,33.33,21,3.38,33.33
Glimmora,74,2.04,50.34,19,1.7,29.93,14,2.25,40.91
Floette + Tyranitar,66,1.82,52.11,12,1.08,34.29,12,1.93,50
Delphox + Floette,59,1.63,62.38,26,2.33,46.71,20,3.22,64.1
Golurk,56,1.54,40.07,11,0.99,31.13,7,1.13,66.67
Kangaskhan,46,1.27,52.47,18,1.61,32.43,10,1.61,46.67
Starmie,39,1.08,45.14,6,0.54,27.78,3,0.48,33.33
Scizor,36,0.99,62.79,17,1.52,45.35,12,1.93,54.17
Venusaur,33,0.91,46.85,9,0.81,18.64,5,0.8,16.67
Charizard Y + Floette,32,0.88,46.72,9,0.81,29.63,6,0.96,33.33
Dragonite + Meganium,26,0.72,49.54,8,0.72,32.5,7,1.13,78.57
Scovillain,26,0.72,43.14,2,0.18,31.67,2,0.32,33.33
Charizard X,25,0.69,48.94,8,0.72,26.09,3,0.48,50
Meganium + Tyranitar,24,0.66,52.1,9,0.81,28.3,2,0.32,50
Crabominable,23,0.63,49.46,7,0.63,30.43,3,0.48,40
Dragonite + Starmie,23,0.63,48.94,8,0.72,39.58,3,0.48,60
Dragonite + Venusaur,23,0.63,51.82,7,0.63,37.93,7,1.13,30
Aggron,22,0.61,50,5,0.45,28.57,2,0.32,50
Aerodactyl,21,0.58,47.42,6,0.54,34.04,4,0.64,42.86
Aerodactyl + Floette,20,0.55,52.94,7,0.63,18.92,2,0.32,60
Charizard Y + Gengar,20,0.55,48.1,5,0.45,40,4,0.64,20
Gardevoir + Tyranitar,19,0.52,48.05,5,0.45,32.26,2,0.32,60
Kangaskhan + Meganium,18,0.5,50.65,6,0.54,28.13,4,0.64,55.56
Dragonite + Gengar,16,0.44,46.99,6,0.54,34.15,3,0.48,50
Garchomp,16,0.44,34.25,3,0.27,11.11,2,0.32,33.33
Charizard Y + Gardevoir,15,0.41,37.14,4,0.36,14.29,2,0.32,0
Floette + Froslass,15,0.41,58.9,7,0.63,53.13,3,0.48,66.67
Blastoise,14,0.39,44.62,3,0.27,28,2,0.32,33.33
Floette + Gengar,14,0.39,58.49,4,0.36,50,1,0.16,100
Gyarados,13,0.36,32.69,1,0.09,11.76,0,0,
Lopunny,13,0.36,47.83,4,0.36,38.71,3,0.48,66.67
Aggron + Tyranitar,12,0.33,52.78,3,0.27,28.57,1,0.16,50
Drampa,12,0.33,41.94,2,0.18,25,2,0.32,80
Charizard Y + Garchomp,11,0.3,56.36,4,0.36,43.48,4,0.64,71.43
Charizard Y + Venusaur,11,0.3,31.37,2,0.18,23.53,1,0.16,0
Delphox + Tyranitar,11,0.3,54.05,2,0.18,40,1,0.16,100
Lucario,11,0.3,35,2,0.18,22.73,0,0,
Charizard Y + Kangaskhan,10,0.28,37.74,2,0.18,29.41,0,0,
