Mega 1,Mega 2,matches,mega1_wins,mega2_wins,mega1_winrate,4plus_matches,4plus_mega1_wins,4plus_mega2_wins,4plus_mega1_winrate,top_cut_matches,top_cut_mega1_wins,top_cut_mega2_wins,top_cut_mega1_winrate
Aerodactyl,Charizard Y,54,31,22,57.41,20,9,11,45,4,3,1,75
Aerodactyl,Tyranitar,35,19,14,54.29,11,6,5,54.55,2,1,1,50
Aerodactyl,Floette,59,32,27,54.24,18,11,7,61.11,3,2,1,66.67
Aerodactyl,Gengar,36,19,17,52.78,7,2,5,28.57,2,0,2,0
Aerodactyl,Dragonite,40,18,21,45,11,2,9,18.18,1,1,0,100
Aerodactyl,Delphox,23,9,14,39.13,6,3,3,50,3,1,2,33.33
Aerodactyl,Froslass,38,14,22,36.84,10,4,6,40,4,2,2,50
Aerodactyl,Meganium,20,6,14,30,3,0,3,0,0,0,0,
Aggron,Tyranitar,32,17,14,53.13,3,1,2,33.33,1,1,0,100
Aggron,Floette,38,19,19,50,12,4,8,33.33,6,1,5,16.67
Aggron,Gengar,26,12,13,46.15,9,5,4,55.56,1,1,0,100
Aggron,Charizard Y,41,16,23,39.02,7,3,4,42.86,0,0,0,
Aggron,Dragonite,21,5,14,23.81,3,1,2,33.33,1,0,1,0
Blastoise,Charizard Y,30,16,12,53.33,6,6,0,100,0,0,0,
Blastoise,Floette,39,15,23,38.46,17,9,8,52.94,4,3,1,75
Blastoise,Delphox,20,7,13,35,9,2,7,22.22,3,1,2,33.33
Charizard X,Charizard Y,29,15,14,51.72,9,2,7,22.22,0,0,0,
Charizard X,Dragonite,20,7,13,35,4,2,2,50,2,1,1,50
Charizard X,Floette,22,7,15,31.82,6,2,4,33.33,2,1,1,50
Charizard Y,Crabominable,32,19,13,59.38,7,3,4,42.86,2,1,1,50
Charizard Y,Excadrill,21,12,9,57.14,1,1,0,100,0,0,0,
Charizard Y,Aggron,41,23,16,56.1,7,4,3,57.14,0,0,0,
Charizard Y,Gengar,270,146,113,54.07,63,28,35,44.44,13,8,5,61.54
Charizard Y,Starmie,52,27,25,51.92,14,8,6,57.14,2,2,0,100
Charizard Y,Meganium,161,80,76,49.69,41,20,21,48.78,14,8,6,57.14
Charizard Y,Scizor,53,26,27,49.06,20,13,7,65,2,1,1,50
Charizard Y,Golurk,66,32,26,48.48,15,10,5,66.67,2,1,1,50
Charizard Y,Gyarados,29,14,15,48.28,4,1,3,25,1,1,0,100
Charizard Y,Charizard X,29,14,15,48.28,9,7,2,77.78,0,0,0,
Charizard Y,Garchomp,50,24,20,48,6,3,3,50,1,0,1,0
Charizard Y,Kangaskhan,98,46,47,46.94,23,13,10,56.52,6,3,3,50
Charizard Y,Scovillain,41,19,22,46.34,10,2,8,20,3,1,2,33.33
Charizard Y,Dragonite,277,128,138,46.21,66,32,34,48.48,9,4,5,44.44
Charizard Y,Tyranitar,303,140,161,46.2,70,32,38,45.71,19,7,12,36.84
Charizard Y,Froslass,241,109,128,45.23,79,33,46,41.77,19,7,12,36.84
Charizard Y,Venusaur,67,30,31,44.78,17,10,7,58.82,5,2,3,40
Charizard Y,Glimmora,108,47,57,43.52,23,10,13,43.48,7,2,5,28.57
Charizard Y,Floette,440,191,243,43.41,133,53,80,39.85,34,10,24,29.41
Charizard Y,Lopunny,21,9,11,42.86,7,4,3,57.14,1,0,1,0
Charizard Y,Aerodactyl,54,22,31,40.74,20,11,9,55,4,1,3,25
Charizard Y,Blastoise,30,12,16,40,6,0,6,0,0,0,0,
Charizard Y,Gardevoir,132,52,78,39.39,43,14,29,32.56,13,3,10,23.08
Charizard Y,Lucario,28,11,13,39.29,4,1,3,25,1,1,0,100
Charizard Y,Delphox,181,68,111,37.57,66,18,48,27.27,16,2,14,12.5
Charizard Y,Drampa,22,8,11,36.36,2,1,1,50,0,0,0,
Crabominable,Charizard Y,32,13,19,40.63,7,4,3,57.14,2,1,1,50
Crabominable,Floette,29,8,21,27.59,5,1,4,20,1,0,1,0
Delphox,Glimmora,34,23,11,67.65,8,6,2,75,2,2,0,100
Delphox,Blastoise,20,13,7,65,9,7,2,77.78,3,2,1,66.67
Delphox,Lucario,21,13,8,61.9,6,2,4,33.33,2,1,1,50
Delphox,Charizard Y,181,111,68,61.33,66,48,18,72.73,16,14,2,87.5
Delphox,Aerodactyl,23,14,9,60.87,6,3,3,50,3,2,1,66.67
Delphox,Gardevoir,58,34,24,58.62,20,11,9,55,8,5,3,62.5
Delphox,Gengar,103,59,44,57.28,30,16,14,53.33,8,3,5,37.5
Delphox,Froslass,117,65,51,55.56,39,22,17,56.41,11,8,3,72.73
Delphox,Venusaur,39,21,18,53.85,12,8,4,66.67,3,3,0,100
Delphox,Floette,207,110,95,53.14,80,46,34,57.5,28,18,10,64.29
Delphox,Dragonite,90,47,43,52.22,31,14,17,45.16,14,5,9,35.71
Delphox,Tyranitar,118,61,56,51.69,36,19,17,52.78,12,9,3,75
Delphox,Scizor,32,16,16,50,13,9,4,69.23,7,6,1,85.71
Delphox,Meganium,61,30,31,49.18,21,11,10,52.38,5,1,4,20
Delphox,Golurk,23,11,12,47.83,9,4,5,44.44,3,1,2,33.33
Delphox,Kangaskhan,34,16,18,47.06,11,5,6,45.45,2,0,2,0
Dragonite,Aggron,21,14,5,66.67,3,2,1,66.67,1,1,0,100
Dragonite,Charizard X,20,13,7,65,4,2,2,50,2,1,1,50
Dragonite,Garchomp,24,13,8,54.17,8,6,2,75,3,2,1,66.67
Dragonite,Aerodactyl,40,21,18,52.5,11,9,2,81.82,1,0,1,0
Dragonite,Charizard Y,277,138,128,49.82,66,34,32,51.52,9,5,4,55.56
