pokemon,usage_count,usage_pct,win_rate,4plus_teams,4plus_usage_pct,4plus_win_rate,top_cut_teams,top_cut_usage_pct,top_cut_win_rate
Charizard Y,581,16.03,47.03,186,16.68,64.8,107,17.2,44.74
Floette,562,15.5,54.21,192,17.22,68.7,136,21.86,55.89
Tyranitar,347,9.57,49.62,101,9.06,67.11,58,9.32,58.21
Gengar,323,8.91,45.66,80,7.17,66.62,50,8.04,56.6
Dragonite,309,8.52,46.16,87,7.8,66.06,55,8.84,56.52
Froslass,292,8.06,52.28,101,9.06,66.55,56,9,56.45
Delphox,223,6.15,56.06,88,7.89,69.86,62,9.97,61.59
Meganium,176,4.86,49.7,61,5.47,66.27,42,6.75,55.68
Gardevoir,171,4.72,48.62,52,4.66,67.94,29,4.66,58.33
Glimmora,123,3.39,47.64,30,2.69,65.13,20,3.22,53.49
Kangaskhan,111,3.06,47.86,35,3.14,65.06,19,3.05,52.5
Venusaur,85,2.34,49.26,28,2.51,64.66,18,2.89,45.45
Aerodactyl,79,2.18,48.64,25,2.24,63.18,16,2.57,53.13
Scizor,74,2.04,56.48,32,2.87,68.06,23,3.7,53.19
Golurk,73,2.01,42.89,17,1.52,66.45,11,1.77,70.97
Starmie,69,1.9,47.21,18,1.61,65.22,6,0.96,50
Aggron,59,1.63,46.76,15,1.35,68.7,9,1.45,47.06
Garchomp,49,1.35,42.8,12,1.08,63.54,9,1.45,50
Scovillain,42,1.16,49.33,8,0.72,72.46,6,0.96,53.85
Crabominable,41,1.13,48.96,11,0.99,63.75,5,0.8,44.44
Charizard X,39,1.08,47.28,12,1.08,67.07,5,0.8,44.44
Lucario,37,1.02,43.36,11,0.99,63.95,6,0.96,50
Gyarados,36,0.99,40.56,6,0.54,66,3,0.48,40
Blastoise,33,0.91,49.24,13,1.17,66.35,8,1.29,57.89
Drampa,30,0.83,43.18,7,0.63,66.67,6,0.96,54.55
Lopunny,28,0.77,42.17,8,0.72,60.56,5,0.8,55.56
Camerupt,23,0.63,50,9,0.81,61.04,5,0.8,61.54
Skarmory,21,0.58,53.08,8,0.72,65.28,8,1.29,55.56
Gallade,17,0.47,46.59,4,0.36,74.29,4,0.64,50
Manectric,17,0.47,44.21,6,0.54,66,3,0.48,25
Excadrill,16,0.44,43.18,2,0.18,68.75,1,0.16,100
Chesnaught,15,0.41,51.32,5,0.45,69.7,4,0.64,50
Hawlucha,15,0.41,38.64,2,0.18,70.59,1,0.16,66.67
Abomasnow,13,0.36,51.9,6,0.54,58.33,3,0.48,50
Greninja,13,0.36,38.24,3,0.27,66.67,1,0.16,50
Feraligatr,12,0.33,35.09,1,0.09,57.14,0,0,0
Alakazam,11,0.3,35.85,2,0.18,64.29,2,0.32,50
Chandelure,11,0.3,41.51,3,0.27,59.09,2,0.32,33.33
Ampharos,10,0.28,41.54,2,0.18,62.5,0,0,0
Clefable,10,0.28,46.3,4,0.36,61.29,1,0.16,50
Slowbro,9,0.25,43.48,1,0.09,62.5,1,0.16,0
Chimecho,7,0.19,33.33,1,0.09,57.14,0,0,0
Altaria,6,0.17,32.43,0,0,0,0,0,0
Meowstic,6,0.17,50,3,0.27,56.52,2,0.32,50
Heracross,5,0.14,40,0,0,0,0,0,0
Sharpedo,5,0.14,20,0,0,0,0,0,0
Pinsir,3,0.08,64.71,2,0.18,66.67,0,0,0
Sableye,3,0.08,13.33,0,0,0,0,0,0
Victreebel,3,0.08,50,0,0,0,0,0,0
Absol,2,0.06,45.45,1,0.09,62.5,0,0,0
Beedrill,2,0.06,40,0,0,0,0,0,0
Steelix,2,0.06,45.45,0,0,0,0,0,0
Banette,1,0.03,50,0,0,0,0,0,0
Emboar,1,0.03,0,0,0,0,0,0,0
Garchomp Z,1,0.03,71.43,1,0.09,71.43,0,0,0
Glalie,1,0.03,50,0,0,0,0,0,0
Houndoom,1,0.03,50,0,0,0,1,0.16,0
Medicham,1,0.03,20,0,0,0,0,0,0
Pidgeot,1,0.03,42.86,0,0,0,0,0,0
