species,is_mega,teams,usage_pct,win_rate,4plus_teams,4plus_usage_pct,4plus_win_rate,top_cut_teams,top_cut_usage_pct,top_cut_win_rate
Incineroar,0,1701,43.43,48,488,40.91,66.2,307,45.08,51.34
Sneasler,0,1597,40.77,51.33,553,46.35,67.96,360,52.86,56.83
Garchomp,0,1235,31.53,50.31,396,33.19,66.74,240,35.24,53.32
Sinistcha,0,995,25.4,50.08,310,25.98,67.32,190,27.9,55.53
Kingambit,0,930,23.74,53.88,348,29.17,68.89,233,34.21,58.63
Basculegion,0,819,20.91,52.48,294,24.64,67.45,190,27.9,54.41
Wash Rotom,0,627,16.01,48.93,192,16.09,67.01,123,18.06,55.56
Charizard,1,620,15.83,46.9,198,16.6,64.92,112,16.45,44.28
Whimsicott,0,599,15.29,45.53,171,14.33,65.01,93,13.66,55.96
Floette,1,562,14.35,54.12,192,16.09,68.7,136,19.97,55.52
Pelipper,0,498,12.71,48.54,165,13.83,65.34,92,13.51,51.35
Archaludon,0,422,10.77,46.29,128,10.73,64.53,72,10.57,46.67
Aerodactyl,0,400,10.21,53.86,136,11.4,70.15,101,14.83,56.65
Farigiraf,0,386,9.85,47.09,109,9.14,65.08,71,10.43,46.67
Tyranitar,1,347,8.86,49.73,101,8.47,67.02,58,8.52,58.57
Gengar,1,323,8.25,46.03,80,6.71,67.11,50,7.34,58.93
Venusaur,0,322,8.22,45.46,90,7.54,64.71,52,7.64,44.79
Dragonite,1,309,7.89,46.07,87,7.29,66.06,55,8.08,56.52
Milotic,0,305,7.79,48.54,97,8.13,65.28,48,7.05,56.76
Maushold,0,301,7.68,49.58,93,7.8,67.22,63,9.25,58.45
Froslass,1,292,7.45,52.37,101,8.47,66.63,56,8.22,56.25
Corviknight,0,257,6.56,50.44,70,5.87,67.28,40,5.87,55.43
Excadrill,0,241,6.15,47.4,68,5.7,64.24,40,5.87,53.85
Delphox,1,223,5.69,55.58,88,7.38,69.86,62,9.1,60.71
Talonflame,0,211,5.39,47.63,63,5.28,63.71,37,5.43,45.95
Aegislash,0,197,5.03,51.94,72,6.04,66.67,48,7.05,50.56
Kommo-O,0,189,4.83,50.25,55,4.61,68.36,31,4.55,53.03
Primarina,0,184,4.7,49.48,59,4.95,66.14,37,5.43,57.32
Meganium,1,176,4.49,49.8,61,5.11,66.27,42,6.17,54.44
Gardevoir,1,171,4.37,48.62,52,4.36,67.94,29,4.26,58.33
Dragonite,0,168,4.29,48.41,54,4.53,67.43,37,5.43,60.76
Torkoal,0,165,4.21,44.1,40,3.35,63.91,27,3.96,55.17
Tyranitar,0,160,4.08,44.91,44,3.69,65.13,24,3.52,53.49
Politoed,0,146,3.73,42.8,29,2.43,64.85,20,2.94,60.47
Palafin,0,143,3.65,51.27,52,4.36,67.21,25,3.67,62.9
Sylveon,0,135,3.45,46.13,35,2.93,62.5,19,2.79,38.24
Clefable,0,131,3.34,49.86,49,4.11,66.15,27,3.96,61.4
Dragapult,0,130,3.32,47.16,40,3.35,63.55,23,3.38,48.84
Glimmora,1,123,3.14,47.64,30,2.51,65.13,20,2.94,53.49
Alolan Ninetales,0,114,2.91,46.77,24,2.01,65.13,17,2.5,45.16
Kangaskhan,1,111,2.83,47.74,35,2.93,65.06,19,2.79,50
Hisuian Typhlosion,0,105,2.68,41.75,20,1.68,64.71,10,1.47,56.52
Hisuian Arcanine,0,104,2.66,53.93,40,3.35,69.3,27,3.96,59.32
Venusaur,1,85,2.17,49.27,28,2.35,64.66,18,2.64,45.45
Heat Rotom,0,84,2.14,48.32,22,1.84,65.69,15,2.2,54.05
Gyarados,0,83,2.12,45.33,24,2.01,63.83,10,1.47,59.09
Volcarona,0,81,2.07,50.24,23,1.93,65,12,1.76,45.45
Aerodactyl,1,79,2.02,48.64,25,2.1,63.18,16,2.35,53.13
Scizor,1,74,1.89,56.48,32,2.68,68.06,23,3.38,53.19
Golurk,1,73,1.86,42.35,17,1.42,66.45,11,1.62,70.97
Starmie,1,69,1.76,47.21,18,1.51,65.22,6,0.88,50
Hydreigon,0,67,1.71,43.27,16,1.34,61.29,8,1.17,46.15
Gardevoir,0,66,1.68,42.78,18,1.51,63.36,11,1.62,31.25
Aggron,1,59,1.51,46.76,15,1.26,68.7,9,1.32,47.06
Arcanine,0,57,1.46,45.36,18,1.51,64.83,10,1.47,47.06
Orthworm,0,57,1.46,50.16,15,1.26,67.88,12,1.76,60
Sableye,0,55,1.4,43.92,17,1.42,62.22,6,0.88,22.22
Garchomp,1,50,1.28,43.22,13,1.09,64.08,9,1.32,50
Meowscarada,0,50,1.28,41.28,12,1.01,61.8,4,0.59,50
Mimikyu,0,43,1.1,39.62,7,0.59,65.08,5,0.73,54.55
Hatterene,0,42,1.07,39.73,9,0.75,61.04,7,1.03,46.15
Scovillain,1,42,1.07,49.33,8,0.67,72.46,6,0.88,53.85
Crabominable,1,41,1.05,48.96,11,0.92,63.75,5,0.73,44.44
Hisuian Zoroark,0,41,1.05,36.71,7,0.59,56.36,5,0.73,0
Oranguru,0,40,1.02,40.44,13,1.09,58.72,9,1.32,55
Scizor,0,40,1.02,39.09,8,0.67,58.62,4,0.59,66.67
Mamoswine,0,39,1,49.78,11,0.92,67.39,8,1.17,61.11
Lucario,1,37,0.94,43.36,11,0.92,63.95,6,0.88,50
Gyarados,1,36,0.92,40.56,6,0.5,66,3,0.44,40
Azumarill,0,33,0.84,42.53,7,0.59,65.52,4,0.59,50
Blastoise,1,33,0.84,49.24,13,1.09,66.35,8,1.17,57.89
Empoleon,0,32,0.82,42.6,6,0.5,62,5,0.73,37.5
Paldean Tauros Aqua Breed,0,32,0.82,44.64,7,0.59,62.5,6,0.88,40
Raichu,0,31,0.79,41.38,6,0.5,62.5,4,0.59,55.56
Tsareena,0,31,0.79,49.1,7,0.59,72.88,6,0.88,53.85
Drampa,1,30,0.77,43.18,7,0.59,66.67,6,0.88,54.55
Tinkaton,0,30,0.77,39.51,7,0.59,57.14,4,0.59,20
Conkeldurr,0,29,0.74,41.29,6,0.5,59.09,5,0.73,0
Frost Rotom,0,29,0.74,47.47,8,0.67,65.45,4,0.59,33.33
Weavile,0,29,0.74,48.24,9,0.75,63.24,2,0.29,0
Gengar,0,28,0.71,36.02,7,0.59,58.82,3,0.44,25
Lopunny,1,28,0.71,42.17,8,0.67,60.56,5,0.73,55.56
Gallade,0,24,0.61,49.36,8,0.67,65.52,6,0.88,33.33
Camerupt,1,23,0.59,50,9,0.75,61.04,5,0.73,61.54
Vivillon,0,23,0.59,42.86,6,0.5,67.44,4,0.59,0
Araquanid,0,22,0.56,42.73,6,0.5,55.1,4,0.59,42.86
Ceruledge,0,22,0.56,37.37,3,0.25,66.67,0,0,0
Garganacl,0,21,0.54,28.85,0,0,0,0,0,0
Klefki,0,21,0.54,49.6,6,0.5,68.09,5,0.73,37.5
Skarmory,1,21,0.54,53.08,8,0.67,65.28,8,1.17,55.56
Snorlax,0,19,0.49,28.57,0,0,0,0,0,0
Hisuian Goodra,0,18,0.46,38.3,4,0.34,56.67,1,0.15,0
Altaria,0,17,0.43,39.02,4,0.34,60.71,1,0.15,50
Gallade,1,17,0.43,46.59,4,0.34,74.29,4,0.59,50
Manectric,1,17,0.43,44.21,6,0.5,66,3,0.44,25
Excadrill,1,16,0.41,43.18,2,0.17,68.75,1,0.15,100
Lucario,0,16,0.41,36.84,0,0,0,0,0,0
Armarouge,0,15,0.38,46.43,4,0.34,70,3,0.44,66.67
Blastoise,0,15,0.38,27.91,1,0.08,57.14,1,0.15,0
Chesnaught,1,15,0.38,51.32,5,0.42,69.7,4,0.59,50
Glimmora,0,15,0.38,29.73,0,0,0,0,0,0
Hawlucha,1,15,0.38,38.64,2,0.17,70.59,1,0.15,66.67
Pikachu,0,14,0.36,36.17,1,0.08,66.67,1,0.15,66.67
Quaquaval,0,14,0.36,37.76,4,0.34,62.5,2,0.29,33.33
Umbreon,0,14,0.36,29.29,2,0.17,72.22,2,0.29,60
Abomasnow,1,13,0.33,51.9,6,0.5,58.33,3,0.44,50
Greninja,1,13,0.33,38.24,3,0.25,66.67,1,0.15,50
Kleavor,0,13,0.33,40.74,2,0.17,70.59,1,0.15,66.67
Mow Rotom,0,13,0.33,40.32,2,0.17,68.75,2,0.29,33.33
Rhyperior,0,13,0.33,40.51,3,0.25,62.96,2,0.29,33.33
Feraligatr,1,12,0.31,35.09,1,0.08,57.14,0,0,0
Alakazam,1,11,0.28,35.85,2,0.17,64.29,2,0.29,50
Chandelure,1,11,0.28,41.51,3,0.25,59.09,2,0.29,33.33
Hisuian Decidueye,0,11,0.28,46.55,2,0.17,73.33,1,0.15,50
Jolteon,0,11,0.28,36.36,1,0.08,44.44,0,0,0
Meowstic,0,11,0.28,36.36,1,0.08,80,0,0,0
Ampharos,1,10,0.26,44,2,0.17,62.5,0,0,0
Clefable,1,10,0.26,46.3,4,0.34,61.29,1,0.15,50
Greninja,0,10,0.26,30.16,2,0.17,60,0,0,0
Machamp,0,10,0.26,30.95,2,0.17,57.14,0,0,0
Skeledirge,0,10,0.26,30.51,2,0.17,62.5,1,0.15,0
Vanilluxe,0,10,0.26,43.64,2,0.17,75,2,0.29,60
Chandelure,0,9,0.23,36.96,2,0.17,60,1,0.15,0
Galarian Slowking,0,9,0.23,42.11,2,0.17,57.14,0,0,0
Heliolisk,0,9,0.23,46.51,2,0.17,57.14,1,0.15,50
Krookodile,0,9,0.23,39.13,3,0.25,60,1,0.15,50
Serperior,0,9,0.23,35.29,0,0,0,1,0.15,0
Slowbro,1,9,0.23,43.48,1,0.08,62.5,1,0.15,0
Alcremie,0,8,0.2,35.71,1,0.08,60,1,0.15,0
Drampa,0,8,0.2,37.5,2,0.17,57.14,0,0,0
Espathra,0,8,0.2,48.89,4,0.34,65.63,1,0.15,50
Galarian Slowbro,0,8,0.2,27.03,1,0.08,62.5,0,0,0
Hisuian Samurott,0,8,0.2,41.46,1,0.08,57.14,1,0.15,0
Lycanroc,0,8,0.2,59.09,5,0.42,64.71,1,0.15,50
Chimecho,1,7,0.18,33.33,1,0.08,57.14,0,0,0
Floette,0,7,0.18,53.19,3,0.25,62.5,2,0.29,33.33
Hydrapple,0,7,0.18,34.48,0,0,0,0,0,0
Lycanroc Dusk,0,7,0.18,50,3,0.25,60.87,0,0,0
Tyrantrum,0,7,0.18,35.48,1,0.08,57.14,0,0,0
Altaria,1,6,0.15,32.43,0,0,0,0,0,0
Bellibolt,0,6,0.15,41.94,0,0,0,0,0,0
Cofagrigus,0,6,0.15,39.02,1,0.08,50,0,0,0
Ditto,0,6,0.15,30,1,0.08,57.14,1,0.15,0
Froslass,0,6,0.15,17.24,1,0.08,57.14,1,0.15,50
Glaceon,0,6,0.15,51.02,4,0.34,60,2,0.29,33.33
Meowstic,1,6,0.15,50,3,0.25,56.52,2,0.29,50
Noivern,0,6,0.15,35.9,1,0.08,71.43,1,0.15,50
Slowbro,0,6,0.15,28.57,1,0.08,62.5,1,0.15,66.67
Slowking,0,6,0.15,47.83,2,0.17,53.33,0,0,0
Aggron,0,5,0.13,42.31,0,0,0,0,0,0
Gliscor,0,5,0.13,17.65,0,0,0,0,0,0
Goodra,0,5,0.13,33.33,1,0.08,50,1,0.15,0
Heracross,1,5,0.13,40,0,0,0,0,0,0
